Название;Режиссер;Реперные точки;Ссылка;Количество рецензий;Философская глубина;Острота постановки проблемы; Наличие категориального аппарата; Эстетическое удовольствие;Насколько берет за душу;Раскрытие мировоззрения автора;Художественная глубина;Общее впечатление
Сталкер;Андрей Тарковский;-;https://www.culture.ru/live/movies/2629/stalker;0;0;0;0;0;0;0;0;0
Остров;Павел Лунгин;-;https://www.culture.ru/live/movies/1607/ostrov;0;0;0;0;0;0;0;0;0
Зеркало;Андрей Тарковский;-;https://www.culture.ru/live/movies/469/zerkalo;0;0;0;0;0;0;0;0;0
Стачка;Сергей Эйзенштейн;-;https://www.culture.ru/live/movies/2639/stachka;0;0;0;0;0;0;0;0;0
Птицы;Альфред Хичкок;-;-;0;0;0;0;0;0;0;0;0
Психо;Альфред Хичкок;"46:30 - сцена убийства в душе.
1:41:15 - мы видим Бейтса в женской одежде.
1:47:47 - финальный план Нормана";https://yandex.ru/video/preview/2699192565750453009;0;0;0;0;0;0;0;0;0
Иваново детство;Андрей Тарковский;-;https://www.culture.ru/live/movies/462/ivanovo-detstvo;0;0;0;0;0;0;0;0;0
Андрей Рублев;Андрей Тарковский;-;https://www.culture.ru/live/movies/550/andrei-rublev;0;0;0;0;0;0;0;0;0
Тени забытых предков;Сергей Параджанов;-;https://www.youtube.com/watch?v=WFnA23i9-Ko;0;0;0;0;0;0;0;0;0
Легенда о Сурамской крепости;Сергей Параджанов;-;https://www.youtube.com/watch?v=Ih4yG4fNBf0;0;0;0;0;0;0;0;0;0
Король Лир;Григорий Козинцев;-;https://www.youtube.com/watch?v=JJLIVhj2H3c;0;0;0;0;0;0;0;0;0
Гамлет;Григорий Козинцев;-;https://www.culture.ru/live/movies/594/gamlet;0;0;0;0;0;0;0;0;0
Броненосец “Потёмкин;Сергей Эйзенштейн;-;https://www.culture.ru/live/movies/459/bronenosec-potemkin;0;0;0;0;0;0;0;0;0
Андалузский пес;Луис Бунюэль;-;https://www.culture.ru/live/movies/290/andaluzskii-pes;0;0;0;0;0;0;0;0;0
Дневная красавица;Луис Бунюэль;-;https://ok.ru/video/350762764831;0;0;0;0;0;0;0;0;0
Лето с Моникой;Ингмар Бергман;-;https://yandex.ru/video/preview/2095394729462121686;0;0;0;0;0;0;0;0;0
Вечер шутов;Ингмар Бергман;-;https://yandex.ru/video/preview/16836385373598302541;0;0;0;0;0;0;0;0;0
Седьмая печать;Ингмар Бергман;-;https://www.culture.ru/live/movies/794/sedmaya-pechat;0;0;0;0;0;0;0;0;0
Мушетт;Робер Брессон;-;https://yandex.ru/video/preview/8524797186810154724;0;0;0;0;0;0;0;0;0
Карманник;Робер Брессон;-;https://yandex.ru/video/preview/3029220958813100943;0;0;0;0;0;0;0;0;0
